"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Strahm, Matt","L","98.6","98.3","49",,,,"19.4",,
"Ragans, Cole","L","98.6",,"38.8","99.4",,"91.6","28.1",,
"Woods Richardson, Simeon","R","98.3",,,"86.2",,"85.1","50.5",,
"Springs, Jeffrey","L","98.3",,"65.8","93.6",,,"32.8","46.3",
"Montgomery, Mason","L","98.3",,,,,,"13",,
"Blanco, Ronel","R","98.3",,,"97.4",,"46.9","33.2",,
"Cortes, Nestor","L","98",,"50.8","91.3",,,,"52.4",
"Yoho, Craig","R","97.9",,,"89.3",,,,"95.3",
"Bednar, David","R","97.9",,,,"74.7","66.4",,,
"Gausman, Kevin","R","97.9",,,,"88.3",,"22.7",,
"Nelson, Ryne","R","97.9",,"52.2","99.4",,"66.5","43",,
"Kerkering, Orion","R","97.8","92.4",,,,,,"47",
"Mize, Casey","R","97.6","96.4",,,"95.1",,"27.7",,"31.7"
"Harrington, Thomas","R","97.6",,"49.6",,"92.6",,,"50.2",
"Anderson, Ian","R","97.5",,,"94.1",,"48.6",,,
"Yates, Kirby","R","97.5",,,,"98",,,,
"Smith-Shawver, AJ","R","97.4",,,,"85.2","76.9","55.3",,
"Kremer, Dean","R","97.4","91.4","43.2",,"96.2","67.6",,,
"Wilson, Justin","L","97.4",,"63.6",,,,"24.6",,
"Lively, Ben","R","97.3","95.9","48.7","98.3",,"72.5","46.1","51.3",
"Walker, Taijuan","R","97.3","96","56.2",,"81.3","70.9","32",,
"Rodón, Carlos","L","97.3","69.6",,"75.1",,"79.5","27.4",,
"Lord, Brad","R","97.2","97.2",,"99",,,"15.9",,
"Brebbia, John","R","97.2",,,"95.7",,,"43.2",,
"Gilbert, Logan","R","97.1",,,,"52.9","60.8","12.9",,
"Wacha, Michael","R","97.1","95","55.5","80.3",,"88.9","29.5",,
"Erceg, Lucas","R","97.1","96.9",,"92.6",,,"19.4",,
"Skenes, Paul","R","97.1","95.9",,"97.4","91.4","42.1","27.4","33",
"Hendriks, Liam","R","97.1",,,,,"80.2","25.2",,
"Romano, Jordan","R","97",,,,,,"21.3",,
"Hoffman, Jeff","R","96.9","97.8",,,"95",,"19.2",,
"Johnson, Pierce","R","96.9",,"50.8",,,"41.9",,,
"Akin, Keegan","L","96.9",,,"99.1",,,"26.3",,
"Knack, Landon","R","96.9",,,"87.9",,"82.7","24.5",,
"Latz, Jacob","L","96.7",,,"91.4",,"81.7","32.6",,
"Williams, Gavin","R","96.6",,"59.9",,,"88.5",,"47",
"Alcantara, Sandy","R","96.6","95.5",,"93.5",,"18.9","17.1",,
"Jarvis, Bryce","R","96.6","95.5",,"94.3",,,"25.8",,
"Smith, Cade","R","96.5",,,,"94.8",,,"37.8",
"Greene, Hunter","R","96.5",,,,"79.8",,"42",,
"Alcala, Jorge","R","96.5","95.9",,"94.3",,"42.3","36.6",,
"Scott, Tayler","R","96.3",,,,"76",,"45.8",,
"Suarez, Robert","R","96.3","95.9",,"93.9",,,,,
"Lorenzen, Michael","R","96.2","92.4","57.3","97.8",,"66.2","24.9","32.1",
"Bradley, Taj","R","96.2",,"40.2",,"89.9","81.4",,,
"Agnos, Zach","R","96.2",,"63.3",,"90.5",,,"57.5",
