"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"López, Pablo","R","79.2","80.4",,"80.7",,"73.3",,"43.3",
"Treinen, Blake","R","79.2","82.9","41.3",,,,,"50.1",
"Holmes, Grant","R","79.1",,"49.8","71.8",,"55.9","33",,
"Contreras, Luis","R","79.1",,,"66.1",,,"48.1","56.9",
"Dobbins, Hunter","R","79",,,,"82.6","65.3","40.4","49.2",
"Kinley, Tyler","R","79",,,,,"54.2","21.9",,
"Faucher, Calvin","R","78.8","80.4","21.5",,,"70.8",,"42.6",
"Leclerc, José","R","78.7","77.5","42.4","78.4",,,"45.3",,
"Webb, Logan","R","78.4","79.8","49.2","79.9",,,,"50.2",
"Bassitt, Chris","R","78.1","78.6","44.7",,"96.5","95.9","45.9","85.5",
"Rodríguez, Yariel","R","78","86.3",,,"94.2",,"25.5",,
"Meyer, Max","R","78","76.5",,"87",,,"21.4","41.7",
"Ross, Joe","R","78","80",,"91.6",,"41.5","32.3",,
"Sewald, Paul","R","78",,,,,,,"35.1",
"Bello, Brayan","R","77.9","84.9",,"94.5",,,"52",,
"Holmes, Clay","R","77.4","65.6","29.2","87.2",,,"31","63.2",
"Maeda, Kenta","R","77.2","68.8",,,"69",,"21.9","33.2",
"Singer, Brady","R","77","84.8","52.4",,,,"35","42.4",
"Glasnow, Tyler","R","76.8","76.1",,,,"81.3","23.7",,
"Warren, Will","R","76.7","73.7",,"87.3",,"67.5",,"63.3",
"Thompson, Ryan","R","76.4","75.3",,,,,"73.2",,
"Hodge, Porter","R","76.2",,,,,,,"61",
"Stewart, Brock","R","76.1","82.2","54.7","79.3",,,,"49.9",
"Payamps, Joel","R","75.9","77.7",,,,,"55.2",,
"King, Bryan","L","75","79.2",,,,,,"67.3",
"Buttó, José","R","74.4","80.3",,"65.9",,,"16.1","56.7",
"Roycroft, Chris","R","74.1","96","23.9",,,,,,
"Schreiber, John","R","74.1","74.5","31.4",,,,,"64.5",
"Vasil, Mike","R","73.9","67.6","19.9","87.2",,"91.5",,"67.4",
"Pfaadt, Brandon","R","73.8","79.8",,"82.8",,"55.6",,"41.4",
"Peterson, David","L","73.5","76.4",,"93.9",,"66.8","21.3",,
"Houck, Tanner","R","73.4","78.2",,,"79.7",,,"64.7",
"Bummer, Aaron","L","73.2","73.1",,,,"79.7",,"72.5",
"Carrasco, Carlos","R","73.2","71.5",,"59",,"57.2","23.5",,
"Weissert, Greg","R","73.1","77",,"95.3",,,"33.7","71.7",
"Phillips, Tyler","R","72.9","89.4",,"90.8","87.8","54.4",,"33.4",
"Keller, Brad","R","72.8","72.9",,"81.4",,,"48.1","49.3",
"Thornton, Trent","R","72.8","71.3","28.6",,,"64.7",,"50.8",
"Coulombe, Danny","L","72.4","68.5","32",,,"96.1",,"50.5",
"Smith, Shane","R","71.4","81.3",,"79.2",,"80.2","25.9",,
"Mejia, Juan","R","71.4",,,,,,"64.6",,
"Herrin, Tim","L","70.8","69.8",,,,"54.9","12.5",,
"Feltner, Ryan","R","70.6","66",,"63.3",,"70.9","36.9","47.9",
"Pressly, Ryan","R","68.6","70.9",,"57.4",,"71.7","28.6",,
"Suter, Brent","L","68.3","86.8",,"93.5",,,"47.7",,
"Hurter, Brant","L","68.2","79.6",,"90.1",,,,"51.6",
"Pallante, Andre","R","67.3","78.9",,,,"80.5","32.1",,
"Steele, Justin","L","66","72.4",,,,"66.7","48",,
"Barlow, Scott","R","65.3","67",,,,"89.8","49","59.4",
"Fried, Max","L","64.7","65.2","27.6","76.9",,"89.3",,"72.1",
"Stroman, Marcus","R","63.9","64.9","40.3",,"73.8",,"31.8",,"66.6"
"Williams, Trevor","R","60.7","69.1",,"90.7",,,"37.3","50.5",
"Gray, Sonny","R","56.7","54.6","32","72.6",,"90.7",,"58.2",
"Santos, Gregory","R","50.7","61.7",,,,,"40.4",,
"Murfee, Penn","R","36.9","60.9",,,,,,"75.8",
"Snider, Collin","R","35.5",,"30.9",,,,,"62.3",
"Lee, Chase","R","32.8","39.4",,,,,,"72.2",
