"metric","r","p_value"
"Active spin %",-0.0793842692978332,0.451927995378943
"Velocity",0.0871365914437533,0.40884380260962
"Horizontal movement",-0.172603046677789,0.0999104488254768
"Vertical movement",-0.136158371502227,0.195608354333092
