"profile","avg_WAR","count"
"LHL",1.73856297548605,13
"LLL",1.53665223665224,11
"HHL",1.13315398886827,14
"HLL",1.03714285714286,8
"HHH",0.987886399314971,14
"LHH",0.895185185185185,6
"LLH",0.875238095238095,15
"HLH",0.76017316017316,11
