"last","first","avg_5yr_active_spin","avg_5yr_velocity","avg_5yr_horizontal_movement","avg_5yr_vertical_movement","spin_class","velo_class","move_class","profile","NAME","avg_WAR"
"Taillon","Jameson",89.36,93.3,6.4,14.1,"L","L","L","LLL","Jameson Taillon",1.14
"Ureña","José",93.86,95.78,11.18,16.28,"H","H","H","HHH","José Ureña",-0.0454545454545455
"Vesia","Alex",98.8,93.6,6,11.24,"H","L","L","HLL","Alex Vesia",0.74
"Vest","Will",94.66,95.38,9.16,14.74,"H","H","H","HHH","Will Vest",0.52
"Wacha","Michael",98.5,93.14,6.78,13.06,"H","L","L","HLL","Michael Wacha",2.02
"Walker","Taijuan",97.74,92.98,9.48,14.52,"H","L","H","HLH","Taijuan Walker",0.98
"Weaver","Luke",94.28,94.44,7.36,13.24,"H","H","L","HHL","Luke Weaver",0.172727272727273
"Wheeler","Zack",84.46,95.94,8.36,14.32,"L","H","L","LHL","Zack Wheeler",4.8
"Williams","Trevor",68.48,89.72,4.78,22.32,"L","L","H","LLH","Trevor Williams",0.628571428571429
"Wilson","Bryse",88.8,93.02,6.96,16.36,"L","L","H","LLH","Bryse Wilson",0.228571428571429
"Yarbrough","Ryan",97.84,86.86,14.34,25.08,"H","L","H","HLH","Ryan Yarbrough",0.333333333333333
