"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Smeltzer, Devin","L","91.2",,"43.5","82.1",,"77.9",,"54.6",
"Hill, Rich","L","91.2","85.2","41.9","85.3",,"95.8","50.3","92.1",
"Speier, Gabe","L","91.2","92.2",,"92.2",,,"26.8",,
"Irvin, Jake","R","91.2","87.1",,"83.4",,"70.9",,,
"Faucher, Calvin","R","91.1",,"25.8",,,"68.7",,"33.3",
"Walker, Josh","L","91.1",,,,,"37.2",,,
"Ortiz, Luis F.","R","91.1","87.5",,"94",,"77.4","22.1","49.7",
"Adon, Joan","R","91","89.1",,"82.5",,"57.6","39.5",,
"Chapman, Aroldis","L","90.9","89.7",,,"34.6",,"36.8",,
"Okert, Steven","L","90.9",,,,,,"42.8",,
"Bazardo, Eduard","R","90.8","89.7",,,"76",,"55.1",,
"Hunter, Tommy","R","90.8","82.2","64.5","65.9",,"46.7",,,
"Peralta, Sammy","L","90.7",,,"99.4",,,"30.9","59.2",
"Ober, Bailey","R","90.6",,,"99.4",,"76.2","29.9","42.1",
"Phillips, Connor","R","90.6",,,,,"75.3",,"45.6",
"Junk, Janson","R","90.6",,,,"83.7","78.5",,"43",
"Blackburn, Paul","R","90.5","87","51.3","78.5",,"88.3","67.3",,
"Chirinos, Yonny","R","90.5","89.7",,,"51.7",,"43.4",,
"Civale, Aaron","R","90.5","86.1","48.1",,"96.1","79.9","47.3",,
"Cease, Dylan","R","90.5",,,"88.9",,"80.6","26.3",,
"Frías, Luis","R","90.4",,"40.9","79.3",,,"61.7",,
"Mlodzinski, Carmen","R","90.4",,"48.6","92.4",,,,"63.5",
"Flexen, Chris","R","90.2","93.6","54.4","97.8",,"82.9","44.8","49",
"Middleton, Keynan","R","90.2",,,"84.8",,,"21.2",,
"De Jong, Chase","R","90.2",,,,"92.4","82.7","27.6",,
"Manning, Matt","R","90.2",,,"97.5",,"84.5",,"41.5",
"Almonte, Yency","R","90.2","89.1",,"98.3",,,,"47.8",
"Helsley, Ryan","R","90.1",,,,,"59.2","27.1",,
"Clarke, Taylor","R","90.1",,,"95.5",,,"39.8","52.2",
"Corbin, Patrick","L","90.1","85.6",,"98.7",,,"21.3",,
"Hicks, Jordan","R","90","84.9",,,"87.4",,"41.7","44.4",
"Morejon, Adrian","L","90",,,"99.1",,"81.3","40.2",,
"Merryweather, Julian","R","90",,,"97.6",,,"25.9","43.7",
"Brasier, Ryan","R","89.9","89.9","56.4",,,,"38.3",,
"Tepera, Ryan","R","89.8","91.3",,"90.3",,,"29.9","49.9",
"Sousa, Bennett","L","89.8",,,,,,"29.5",,
"Tonkin, Michael","R","89.8",,,,,,"41.6","65.4",
"Alexander, Tyler","L","89.8","92.3","54.2","97.6",,,"29",,
"Cisnero, José","R","89.8","90.5","32.3","78.9",,,"34.7",,
"Bibee, Tanner","R","89.7",,"46.4","97",,"73.8",,,
"May, Dustin","R","89.7","86.8","43.4","98.1",,,"48.4","69",
"Soriano, José","R","89.7","92.5",,,"89.6","71.9","17.1",,
"Beeks, Jalen","L","89.7",,"21.7","89.1",,,,,
"Woodruff, Brandon","R","89.7","89.1",,"86",,"49.7","24.6",,
"Martinez, Nick","R","89.7","90.7","56.8","80.3",,"76.1",,,
"Megill, Trevor","R","89.7",,,,,"61.2",,,
"Ferguson, Caleb","L","89.6",,"28.2",,,,,"61.4",
"Moran, Jovani","L","89.5",,,"86.9",,,"25",,
"Romano, Jordan","R","89.5",,,,,,"36.3",,
"Fleming, Josh","L","89.4","87.4",,"82.9",,"47.7",,,
"Stripling, Ross","R","89.4","86","43.6","89","89.2","79.7","41.7",,
"Miller, Mason","R","89.4",,"42.7","73.8",,,"52.4",,
"Megill, Tylor","R","89.3","89.7",,"92.2","80.2","80","30.4",,
"Young, Alex","L","89.3","84.2",,"82.4",,"22.7",,,
"Senga, Kodai","R","89.3",,"54.2",,"61.5","63.8","17.6","39.6",
"Chargois, JT","R","89.2","95.1",,,,,"17.2",,
"Cleavinger, Garrett","L","89.2","85.6",,,,,"64.1",,
"Richardson, Lyon","R","89.2","83.4",,"93.1",,"66.1","15",,
"Lucas, Easton","L","89.2",,"41.6","98.7",,,,"29.8",
"Contreras, Roansy","R","89.1",,,"98",,"85.8","34.7",,
"Kauffmann, Karl","R","89.1","93.2","66.5","88.4",,,"30.2",,
"Castillo, Luis","R","89.1","91.8",,"91.7",,,"12.6",,
"Voth, Austin","R","89",,"51.9",,,"78.1",,"47.8",
"Lugo, Seth","R","89","84.2",,"74.6",,"83.9","36.9","49.1","72.3"
"Cano, Yennier","R","89","88.9",,"98.8",,,"25",,
"Jameson, Drey","R","89","86.7",,"84.6",,"52.9","28.6",,
"Cousins, Jake","R","88.9","92.3",,,,,"55.5",,
"Vodnik, Victor","R","88.9",,,"88.6",,,"34.1",,
"Muñoz, Andrés","R","88.8","85.1",,,,,"34.2",,
"Patton, Spencer","R","88.8",,,,,,"52.1",,
"Montero, Rafael","R","88.8","85.3",,"92.2",,,"28.5",,
"Perdomo, Angel","L","88.8",,,"91.7",,,"39.6",,
"Battenfield, Peyton","R","88.7",,"48.4","88.4",,"54.2",,,
"Mantiply, Joe","L","88.6","89.3",,"98.7",,"43.8",,,
"Ginkel, Kevin","R","88.6","90.8",,,,,"21",,
"Graterol, Brusdar","R","88.6","90.4","69.7",,,,"34.7",,
"Burke, Brock","L","88.5","85.6",,"80.7",,,"30.3",,
"Assad, Javier","R","88.4","90","56.8","99.2",,"71.6","45.7","51.7",
"Allen, Logan","L","88.4",,"49.8","77.9",,,"38.5","59.8",
"Francis, Bowden","R","88.4",,,,,"91.5","35.2",,
"Tarnok, Freddy","R","88.3",,,"93.6",,"73.1","22.2",,
"Kaprielian, James","R","88.3","87.7",,"65.3",,"70.3","33.1",,
"Wilson, Bryse","R","88.3","84.1","51.7",,,"69.3",,,
"Kirby, George","R","88.3","85.9",,"99.3","84.1","84.2","55.9",,
"Minter, A.J.","L","88.3",,"30","91.1",,,,,
"Olson, Reese","R","88.2","90.7",,"70.4",,"92","41.9",,
"Hand, Brad","L","88.2","90.9",,,,,,"57.5",
"Spiers, Carson","R","88.2","85.7","46.9","93.5",,,,"51.2",
"Newcomb, Sean","L","88","82.7",,,,"84.3",,,"67"
"Mayers, Mike","R","88","91.6","51.6","87",,"81.3","36.4",,
"Webb, Jacob","R","88",,,"99.5",,,,"45.8",
"Then, Juan","R","87.9","84.8",,"95.6",,,"30.3",,
"Díaz, Miguel","R","87.8","88.1",,"88.5",,,"36.9",,
"Fairbanks, Pete","R","87.7",,,,,,"43.3",,
"Neris, Héctor","R","87.7","86.6",,,"66.1",,"30.3",,
"Keller, Mitch","R","87.6","82.2","38.3","95",,"93",,"64.1",
"Hentges, Sam","L","87.6","81.8",,,,"89.5","23",,
"Marte, José","R","87.6","87.2","43.3","96.6",,,,,
"Bellatti, Andrew","R","87.5",,,"94.6",,,"31.3",,
"Gibson, Kyle","R","87.5","83.9","62.5","79.3",,"62.6",,"45",
"Mikolas, Miles","R","87.5","83.5",,"93",,"81","28",,
"Garrett, Reed","R","87.4","86.1","34.3",,"80.9",,,"42.4",
"Gott, Trevor","R","87.4","86.6","52.9","98.6",,"87",,,
"Norris, Daniel","L","87.3",,,"70.4",,,"18.5",,
"Waldron, Matt","R","87.3","84.7","46.5",,,,,"53.1",
"Jax, Griffin","R","87.3","86","43.7","84.6",,,,"52.7",
"Díaz, Jhonathan","L","87.2","69.6",,"85.7",,,"41.4",,
"Sims, Lucas","R","87.1",,,,,"82.8","37.3","48.3",
"Lyles, Jordan","R","87.1","80.7","45.3","91.1",,"85.2",,"43.1",
"Peralta, Freddy","R","87",,,"93.7",,"56","34.8",,
"Feltner, Ryan","R","87","82.2",,"65.6",,"61.7","43.8",,
"Boxberger, Brad","R","87",,,"87",,,"48.8",,
"Ramírez, Erasmo","R","87","84.9","62","92.2",,"37.6","21.5","27.9",
"Lynch IV, Daniel","L","86.8","82",,"93.2",,"32","42.2",,
"Holton, Tyler","L","86.7","90.8","47.3","97.4",,"78.6",,"40.5",
"Henry, Tommy","L","86.6",,,"88.2",,"73.7","22.2",,
"Quijada, José","L","86.6",,,"97.9",,,,,
"Solomon, Peter","R","86.6",,"30","91.4",,"96.4","23.8",,
"Gage, Matt","L","86.6",,,,,,"34.2","52.5",
"Miley, Wade","L","86.6","85.4","53.9","88.3",,"63.3","34.1",,
"Crismatt, Nabil","R","86.6","83.7",,"75.9",,"95.9","49.1",,
"Lange, Alex","R","86.5","82.7",,"91.7",,"28",,,
"Romero, JoJo","L","86.5","85.9",,"98.9",,,"31.1",,
"Wicks, Jordan","L","86.5","92.9","50.9","93.8",,"67.7","43.2",,
"Sands, Cole","R","86.5","82","34.5",,"77","72.4",,,
"Germán, Domingo","R","86.5","86.3",,"88.9",,"9.8",,,
"Hall, DL","L","86.5",,,"93.8",,"71.8","37.6","36.1",
"Nardi, Andrew","L","86.4",,,,,,"43.2",,
"Vásquez, Randy","R","86.4","87.9","33.8","96.9",,"64.8",,"56.3",
"Kershaw, Clayton","L","86.2",,,"96.1",,"84.2","42.7",,
"May, Trevor","R","86.2",,,"94.2",,,"36","58.7",
"Kilian, Caleb","R","86.1","91.7","44.5",,,"84.4",,,
"Woo, Bryan","R","86.1","84.9",,"86.2",,,"35.3","51.4",
"Floro, Dylan","R","86.1","86.7",,"93.2",,,"14.9",,
"Iglesias, Raisel","R","86","88.3",,"83.5",,,"30.1",,
"Bubic, Kris","L","86",,,"86.8",,"59.5","20.3",,
"Lawrence, Casey","R","86","89.4",,"96.8",,,"27","31.3",
"Maeda, Kenta","R","86","76.7",,,"81.4","79.2","19.8","33.7",
"Stephens, Jackson","R","85.9","86.9","56.2","80.4",,"77.4","34.1",,
"Cessa, Luis","R","85.9","83",,"81.4",,,"45.2",,
"Stephan, Trevor","R","85.8",,,,"91.4",,"35.3",,
"Boyle, Joe","R","85.8",,,,,"85.7","38.4",,
"Darvish, Yu","R","85.7","87.1","53",,"56.9","84.8","33.9","52.6",
"Syndergaard, Noah","R","85.6","85","61.4","96.4",,"59.9","33.4",,
"White, Mitch","R","85.6",,,,,"67.6","27.2","32.1",
"Nelson, Kyle","L","85.6",,"44.1",,,,"34",,
"Rea, Colin","R","85.6","83.4","41.1",,"97.9","78.2",,"48.3",
"Miller, Bryce","R","85.5","81.8","72","95.4",,"88.1","21.8","65.9",
"Suárez, Ranger","L","85.5","81.6","36.3","93.9",,"87.3",,,
"Pérez, Cionel","L","85.4","82.1",,,,"79.1",,,"46.7"
"Soroka, Michael","R","85.4","89",,"97.9",,,"37.4",,
"Knehr, Reiss","R","85.2",,"37.3","99.4",,,"73.8",,
"Lamet, Dinelson","R","85.1","88.5",,"94.2",,,"12.4",,
"Bumgarner, Madison","L","85.1",,"52.9","91.8",,"65.4",,,
"Hendricks, Kyle","R","84.9","76.4",,"74.8",,"79.8",,,
"Saucedo, Tayler","L","84.8","88.6",,"93",,"72","32.4","33",
"Medina, Luis","R","84.8","88.2",,"95",,"80.3","23.6",,
"Abreu, Bryan","R","84.7",,,,,,"50.7",,
"Marsh, Alec","R","84.7","86.4",,"89",,"78","15.4","34",
"Leone, Dominic","R","84.6",,"46.8",,,,"41.6",,
"Senzatela, Antonio","R","84.5",,,"66.2",,,"38.7",,
"Weiss, Zack","R","84.4",,"28.6",,,,"45.8",,
"Garcia, Robert","L","84.4",,,"83.6",,,"32.4",,
"Manoah, Alek","R","84.2","82.7",,"85.6",,,"43",,
"Webb, Logan","R","84.2","81.6",,"86.4",,,,"41.8",
"Toussaint, Touki","R","84.2","78.5",,,"85.2","89.3","33.2",,
"Rogers, Trevor","L","84","85.1",,"89.9",,,"21.4",,
"Boyd, Matthew","L","83.9","80.8",,"81.2",,"87.9","41.4",,
"Morris, Cody","R","83.8",,"36.8","79.4",,"88.3",,,
"Rodriguez, Eduardo","L","83.7","82.2","60.8","87.5",,,"29.7",,
"Elder, Bryce","R","83.6","75.1",,"65.5",,,"14.8",,
"Barnes, Jacob","R","83.5",,"45.3",,,,,,
"Campbell, Isaiah","R","83.5",,,,,,"31.6","57.6",
"King, Michael","R","83.4","76.9",,"98.4",,,,"58.7",
"Quintana, Jose","L","83.4","83.7",,"94.8",,"64",,,"60.2"
"Banks, Tanner","L","83.2","77",,"74.7",,,"34.7","37.6",
"Rasmussen, Drew","R","83.1","82","24.3",,,"76.5",,"51",
"Barraclough, Kyle","R","83","83.9","59.4",,,,"63.7",,
"Brieske, Beau","R","82.9","87.7",,"87.9",,,"29.5",,
"Rom, Drew","L","82.8","72.1",,,"50",,,"54.2",
"Brash, Matt","R","82.7","95.1","31",,,"64.9","40.6",,
"Wantz, Andrew","R","82.7",,"41.3","67.6",,,,"44.9",
"Herget, Jimmy","R","82.6","86",,"62.9",,"57.2","22.7",,
"Hatch, Thomas","R","82.6","86.3","32.3","38.6",,,,,
"Armstrong, Shawn","R","82.5","84.8","52.6",,,,,,"50.9"
"García, Yimi","R","82.5","85.8",,"96.9",,"56","38.2",,
"Garrett, Braxton","L","82.4","78.3","24.6","89.2",,"74.7","41.6",,
"Kelly, Kevin","R","82.4","82.2","43.7",,,,,"77.2",
"Bolton, Cody","R","82.4",,,"75.6",,,,"59.3",
"Leclerc, José","R","82.4","84.6","43.4","85.8",,,"38.6",,
"Stewart, Brock","R","82.2","83.2","43.8","89.6",,,,"50.6",
"Woodford, Jake","R","82.2","81.5","43.4","87.7",,"89.6",,"48.3",
"Bickford, Phil","R","82.1",,,"77.1",,,"44.9",,
"Adam, Jason","R","82",,,"76.3",,,"25.2","63.7",
"Rucker, Michael","R","81.9","80","27.8","78.4",,"76.4","35.5",,
"Buttó, José","R","81.9","85.8",,"71.5",,"58.9","19.8",,
"Carrasco, Carlos","R","81.6","76.5",,"68.2",,"58.4","22.2",,
"Freeland, Kyle","L","81.6","76","27.8","92.6",,"52.9",,,
"Peterson, David","L","81.5","80",,"95.1",,"69.6","17.3",,
"Gallen, Zac","R","81.2",,"48.7","86.1",,"64","30.8",,
"Montgomery, Jordan","L","81.1","86.8","40.2","97.6",,"53.8",,,
"García, Luis","R","81.1","84.9",,,"82.8",,,"57.5",
"Bummer, Aaron","L","80.8","86.5","18.4",,,,,"69.2",
"Kuhnel, Joel","R","80.6","86.3",,"93.4",,,"24.6",,
"Mushinski, Parker","L","80.6","76","51.3",,,"82.2",,"58.3",
"Sandlin, Nick","R","80.5","76.7",,,"84.3",,"49.1",,
"Bassitt, Chris","R","80.4","83.8","46.1","97","97.1","94.8","43.2","81.3",
"Ottavino, Adam","R","80.4","79.7","34.7","77.5",,,,"65.5",
"Greinke, Zack","R","80.1","83.5","41.2","86.1",,"76.2","52",,
"Winckowski, Josh","R","80.1","81.6","34.4","90.9",,,"43.3",,
"Anderson, Grant","R","80","82.6",,"84.5",,,"24.1",,
"Ortega, Oliver","R","79.9","78.8",,,,"68.9","27.6",,
"Domínguez, Seranthony","R","79.9","83.9",,"96",,,"35.4",,
"Martinez, Seth","R","79.8","79.2",,"88",,,,"48.1",
"Wesneski, Hayden","R","79.8","83.7","35.9","91.5",,,,"61.6",
"Soriano, George","R","79.7",,,"91.1",,,"39",,
"Silseth, Chase","R","79.5","77.7","35.7",,"67.8","89.4","34.8","70.4",
"Velasquez, Vince","R","79.5",,,"90.4",,,"41.1",,
"Vasquez, Andrew","L","79.4","84.5",,,,"60.2","61.6",,
"Weissert, Greg","R","79.3","79.2","53.2","99.3",,,,"71.4",
"Eflin, Zach","R","79.1","77.9","42.7","92.8",,"65.7",,"61.4",
"Thompson, Keegan","R","79.1",,"37.4",,,"71",,"35.1",
"Gipson-Long, Sawyer","R","79.1","85.1",,"95",,,"51.4",,
"Avila, Pedro","R","79","76.4",,"25.5",,"88.1",,,
"Otto, Glenn","R","79",,,,,"64.8",,"40.7",
"Urías, Julio","L","78.7",,"36.6","89.3",,,,,"55.5"
"Wheeler, Zack","R","78.6","80","39.1","93.9",,"65.8",,"41.1",
"Singer, Brady","R","78.4","76.9",,"88",,,"26.8","35.8",
"Hollowell, Gavin","R","78.3","84.8","31.3",,,,,"53.3",
"Felipe, Angel","R","78.3","75.8",,"90.4",,,"41.8",,
"Herrin, Tim","L","78.2","72.3",,,,"54.7","20.3",,
"Kelly, Merrill","R","78.2","79.3","63","83.1",,"67.1","20.8",,
"Sewald, Paul","R","78",,,,,,,"36.3",
"Pruitt, Austin","R","77.8","69.6",,"85.2",,"63.2","32.3",,
"Coleman, Dylan","R","77.7",,"49.9",,,,,"71.2",
"Taylor, Josh","L","77.7","74.1",,,,"64.2","35.6",,
"Kelly, Michael","R","77.5","82.8",,,,,"34.2","73.6",
"Underwood Jr., Duane","R","77.4","84.1","65","89",,"59",,,
"Oviedo, Johan","R","77.3","77.8",,"96.9",,"47.3","37.5",,
"Pfaadt, Brandon","R","77.2","82.6",,"85.6",,"75.5",,"43.1",
"Zastryzny, Rob","L","77",,"37","89.7",,,,"34.7",
"Familia, Jeurys","R","76.9","72.1",,,"78.3",,"23.1",,
"Wainwright, Adam","R","76.9","83.4","49","91.6",,"96.2",,,
"Cuas, Jose","R","76.8","79.3",,"98.3",,,"25.9","30.4",
"Strzelecki, Peter","R","76.5","76.1",,"99.5",,,,"61.9",
"Justice, Evan","L","76.3",,,,,,"45.3",,
"Ohtani, Shohei","R","76.3","69.7","35.4",,"63.4","84.5",,"57.5",
"Díaz, Alexis","R","76.2",,,,,,"29.7",,
"Neal, Zach","R","76.2","77.7","31","87.3",,"74.9",,,
"VerHagen, Drew","R","76.1","75.6","38.3","63",,,,"66.9",
"Davis, Noah","R","76.1","97.8","47.5","97",,"77.4","25.8",,
"Pressly, Ryan","R","76",,"65.5","65.9",,"69.6","29.6",,
"Payamps, Joel","R","76","74.3",,"72.3",,,"47.8",,
"Rucinski, Drew","R","75.9","80.3",,"97.8",,"53.7","31.5",,
"Glasnow, Tyler","R","75.6",,,,,"70","18.4",,
"Walter, Brandon","L","75.6","78.6","25.6","89.1",,,,"67.5",
"Kay, Anthony","L","75.6",,,,,,"22.8","54.8",
"Dunning, Dane","R","75.5","79.2","60","98.3",,"98","28.5",,
"López, Pablo","R","75.5","79.2",,"87",,"72.4",,"45.9",
"McAllister, Zach","R","75.4",,"39.7",,,,,,
"Moll, Sam","L","75","77.6",,"87.4",,,,"54.4",
"Thornton, Trent","R","75","72.6",,,,"71.7","27.2","60.7",
"Crowe, Wil","R","74.9",,,"55",,,"30.5","38.1",
"Lovelady, Richard","L","74.9","74.7",,,,,"20.9",,
"Bielak, Brandon","R","74.7","73.8",,"87.6",,"85.5",,"42.3",
"Bleier, Richard","L","74.6","75","40.5",,"87.2",,"58.9",,
"Kluber, Corey","R","74.5","74.2","37.4","71.6",,"50",,,
"Barlow, Scott","R","74.5","77.1",,,,"87.4","57.8","57",
"Stroman, Marcus","R","74.1","59.8","23.5",,"77.5",,"35.5",,"58.2"
"Little, Luke","L","73.8",,,,,,,"72.8",
"Stratton, Chris","R","73.8",,,"71",,"77.9","28.6",,
"France, J.P.","R","73.3",,"31.4","98.6",,"98.1",,"55.3",
"Fried, Max","L","73.3","69","26.2","84.1",,"87.6","27.7","51.8",
"Hudson, Dakota","R","73.3","81.3",,"85.6",,"66.5","11.8",,
"Fulmer, Michael","R","73","72.7","44.7","81.5",,,,"66.2",
"Stratton, Hunter","R","73",,"43.1",,,,"43.4",,
"Hudson, Bryan","L","72.1",,"24.8",,,,,,
"Uribe, Abner","R","72","76.7",,,,,"33.9",,
"Pallante, Andre","R","71.9","82.6",,,,"93.3","37.3",,
"Flaherty, Jack","R","71.7","68.7","50.5","83",,"81.6","50.9",,
"Williams, Trevor","R","71.5","79.1",,"90.2",,"50.7","33.2","55.9",
"Lynn, Lance","R","71.3","68.8","35.3","80.2",,"42",,,
"Teheran, Julio","R","70.4","71.1","52.9","93.3",,"48.9",,,
"Cosgrove, Tom","L","70","66.5",,,,,,"66.4",
"Wright, Kyle","R","69.8","71.4",,"92.7",,"56.8",,,
"Scott, Tanner","L","69.6",,,,,,"30.3",,
"Thompson, Ryan","R","69.2","77.9",,,,,"83.5",,
"Zimmermann, Bruce","L","69","77.2",,"94.7",,"60.7","13.8",,
"Bard, Daniel","R","68.8","68.7",,,,,"32.8",,"45.2"
"Cimber, Adam","R","68.7","72.6",,,,,"48.6",,
"Coulombe, Danny","L","68.6","63.6","24.5","98.6",,"96",,"54.5",
"Muller, Kyle","L","68.5",,,"88.2",,"63.8","16.3",,
"Edwards Jr., Carl","R","68.3",,,"79.6",,"85.6",,,
"Gray, Sonny","R","67.7","60.6","33.1","87.8",,"91.2",,"65.4",
"Kittredge, Andrew","R","67.5","80.3",,,,,"34.4",,
"Schreiber, John","R","66.9","70.9",,"76.5",,,,"70.2",
"Bradish, Kyle","R","66.6","72.7",,"98.9",,"74.3","40",,
"Musgrove, Joe","R","66.2","65.5","44.7","64.7",,"82.6","66.4",,
"Suter, Brent","L","66","82.9",,"92.9",,,"51.7",,
"Priester, Quinn","R","65.7","76.1",,"94.1",,"58.6","32.7",,
"Miller, Tyson","R","65.2","70.8",,,,"72.8","55.8",,
"Houck, Tanner","R","65.1","71.4","40.9",,"72.6",,"63.3","59.2",
"Festa, Matt","R","64.1",,"38.2",,,,,"49.5",
"Turnbull, Spencer","R","61.4","73.9",,"91",,"77.5","40",,
"Keller, Brad","R","60.1","64.3",,"66.7",,"49.2","51.6","59.4",
"Steele, Justin","L","59.2","65.7",,"77.9",,"75","50.7",,
"Adams, Austin","R","58.3",,,,,,"28.4",,
"White, Brendan","R","51.7","63.8",,,,,"29.1","69.2",
"Murfee, Penn","R","39.4",,,,,,,"74.3",
